Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other Kharif pulses,1997,Kharif     ,29,1173,1852.9,121722.43,396.49,0.585
Potato,1997,Whole Year ,29,11295,1852.9,27029707.55,88044.65,18.23722222
Ragi,1997,Autumn     ,29,5104,1852.9,1199808.19,3908.17,0.986
Rapeseed &Mustard,1997,Whole Year ,29,11540,1852.9,31132295.91,101408.13,0.718333333
Rice,1997,Autumn     ,29,11918,1852.9,40268425.57,131167.51,1.837222222
Rice,1997,Summer     ,29,12957,1852.9,114853915.9,374116.99,2.843888889
Rice,1997,Winter     ,29,13553,1852.9,406407115.8,1323801.68,1.985555556
Safflower,1997,Whole Year ,29,4781,1852.9,1027836.0,3348.0,0.2975
Sannhamp,1997,Whole Year ,29,1700,1852.9,191767.55,624.65,4.598571429
Sesamum,1997,Whole Year ,29,9948,1852.9,12173480.21,39653.03,0.649444444
Small millets,1997,Whole Year ,29,3189,1852.9,480227.82,1564.26,0.626666667
Soyabean,1997,Kharif     ,29,1384,1852.9,147989.35,482.05,1.196666667
Sugarcane,1997,Whole Year ,29,6661,1852.9,2455100.49,7997.07,67.83625
Sunflower,1997,Whole Year ,29,302,1852.9,26457.26,86.18,0.0
Turmeric,1997,Whole Year ,29,5079,1852.9,1187816.77,3869.11,1.661111111
Urad,1997,Kharif     ,29,8663,1852.9,6592521.07,21474.01,1.825
Urad,1997,Rabi       ,29,5726,1852.9,1588767.98,5175.14,0.628333333
Wheat,1997,Rabi       ,29,11719,1852.9,34962983.58,113885.94,1.886666667
Arecanut,1998,Kharif     ,21,78,1434.5875,6520.8,19.14,0.35
Bajra,1998,Kharif     ,21,170,1434.5875,14721.2,43.21,2.17
Black pepper,1998,Kharif     ,21,19,1434.5875,1185.6,3.48,0.58
Coriander,1998,Kharif     ,21,4,1434.5875,197.6,0.58,0.5
Cotton(lint),1998,Summer     ,21,469,1434.5875,44756.4,131.37,0.84
Dry chillies,1998,Kharif     ,21,15,1434.5875,790.4,2.32,2.75
Groundnut,1998,Rabi       ,21,992,1434.5875,103344.8,303.34,1.54
Onion,1998,Kharif     ,21,36,1434.5875,2568.8,7.54,16.5
Ragi,1998,Kharif     ,21,131,1434.5875,11065.6,32.48,3.27
Rice,1998,Kharif     ,21,3139,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi       ,21,5334,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer     ,21,3429,1434.5875,564740.8,1657.64,2.55
Sesamum,1998,Kharif     ,21,168,1434.5875,14523.6,42.63,0.806666667
Small millets,1998,Kharif     ,21,7,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Kharif     ,21,2116,1434.5875,267748.0,785.9,82.595
Tapioca,1998,Kharif     ,21,645,1434.5875,64121.2,188.21,20.0
Arecanut,1998,Whole Year ,2,8821,2354.4,7356351.6,21592.53,0.784347826
Arhar/Tur,1998,Kharif     ,2,4063,2354.4,756511.6,2220.53,0.709130435
Banana,1998,Whole Year ,2,7622,2354.4,4138238.0,12146.65,13.78826087
Castor seed,1998,Kharif     ,2,1509,2354.4,170726.4,501.12,0.411428571
Coconut ,1998,Whole Year ,2,6178,2354.4,1992400.8,5848.14,6045.886957
Cotton(lint),1998,Kharif     ,2,1461,2354.4,163217.6,479.08,0.399130435
Dry chillies,1998,Whole Year ,2,5455,2354.4,1454731.2,4269.96,0.636956522
Gram,1998,Rabi       ,2,2284,2354.4,296597.6,870.58,0.460454545
Jute,1998,Kharif     ,2,8928,2354.4,7775757.6,22823.58,9.040869565
Linseed,1998,Rabi       ,2,4652,2354.4,1009933.6,2964.38,0.480909091
Maize,1998,Kharif     ,2,6129,2354.4,1957228.0,5744.9,0.608695652
Mesta,1998,Kharif     ,2,3266,2354.4,519688.0,1525.4,4.9105
Niger seed,1998,Kharif     ,2,4319,2354.4,864796.4,2538.37,0.520555556
Onion,1998,Whole Year ,2,4145,2354.4,798600.4,2344.07,2.340434783
Other  Rabi pulses,1998,Rabi       ,2,9762,2354.4,11474730.8,33680.89,0.50826087
Potato,1998,Whole Year ,2,8893,2354.4,7603450.4,22317.82,7.230434783
Rapeseed &Mustard,1998,Rabi       ,2,11324,2354.4,28536305.2,83760.41,0.473478261
Rice,1998,Autumn     ,2,12346,2354.4,58783925.2,172543.91,1.055652174
Rice,1998,Summer     ,2,10894,2354.4,22122604.4,64934.77,1.685217391
Rice,1998,Winter     ,2,13131,2354.4,161560724.0,474216.7,1.395652174
Sesamum,1998,Kharif     ,2,5624,2354.4,1574872.0,4622.6,0.485217391
Small millets,1998,Kharif     ,2,4721,2354.4,1042043.6,3058.63,0.521363636
Sugarcane,1998,Whole Year ,2,7027,2354.4,3020414.8,8865.59,39.89304348
Sweet potato,1998,Whole Year ,2,4479,2354.4,931980.4,2735.57,3.435652174
Tapioca,1998,Whole Year ,2,2161,2354.4,276442.4,811.42,4.445217391
Tobacco,1998,Whole Year ,2,1314,2354.4,144742.0,424.85,0.569545455
Turmeric,1998,Whole Year ,2,4762,2354.4,1060025.2,3111.41,0.666956522
Wheat,1998,Rabi       ,2,9180,2354.4,8851590.8,25981.39,0.999545455
Arecanut,1998,Whole Year ,6,1340,2964.9,148200.0,435.0,1.21
Banana,1998,Whole Year ,6,1628,2964.9,187720.0,551.0,7.58
Black pepper,1998,Whole Year ,6,275,2964.9,24700.0,72.5,0.28
Cashewnut,1998,Whole Year ,6,8081,2964.9,5224050.0,15333.75,0.28
Coconut ,1998,Whole Year ,6,6564,2964.9,2455970.4,7208.82,4867.65
Groundnut,1998,Kharif     ,6,370,2964.9,34580.0,101.5,1.18
Groundnut,1998,Rabi       ,6,995,2964.9,103542.4,303.92,2.03
Other  Rabi pulses,1998,Rabi       ,6,4298,2964.9,856694.8,2514.59,1.06
Other Kharif pulses,1998,Kharif     ,6,1111,2964.9,118560.0,348.0,0.27
Ragi,1998,Kharif     ,6,2002,2964.9,247000.0,725.0,0.99
Rice,1998,Kharif     ,6,7579,2964.9,4050800.0,11890.0,2.54
Rice,1998,Rabi       ,6,5550,2964.9,1525373.2,4477.31,3.04
Sugarcane,1998,Whole Year ,6,1206,2964.9,130416.0,382.8,48.48
Arecanut,1998,Whole Year ,12,9375,1260.8,9687043.6,28433.63,6.232
Arhar/Tur,1998,Kharif     ,12,12062,1260.8,46969124.8,137864.84,0.400833333
Bajra,1998,Kharif     ,12,11890,1260.8,41082620.8,120586.64,0.601764706
Bajra,1998,Rabi       ,12,467,1260.8,44558.8,130.79,1.19
Bajra,1998,Summer     ,12,817,1260.8,83584.8,245.34,0.59
Black pepper,1998,Whole Year ,12,2933,1260.8,433435.6,1272.23,2.238
Cardamom,1998,Whole Year ,12,6181,1260.8,1997538.4,5863.22,0.06
Castor seed,1998,Kharif     ,12,6787,1260.8,2691904.8,7901.34,0.831818182
Coconut ,1998,Whole Year ,12,11448,1260.8,30667421.2,90015.71,4692.261111
Coriander,1998,Whole Year ,12,5902,1260.8,1771978.0,5201.15,0.118
Cotton(lint),1998,Kharif     ,12,12448,1260.8,62885706.0,184583.55,1.556521739
Dry chillies,1998,Whole Year ,12,10466,1260.8,16827517.2,49392.51,1.123703704
Garlic,1998,Whole Year ,12,2568,1260.8,353111.2,1036.46,1.459411765
Ginger,1998,Kharif     ,12,2705,1260.8,384924.8,1129.84,12.75944444
Gram,1998,Rabi       ,12,11673,1260.8,35106208.8,103044.54,0.573478261
Groundnut,1998,Kharif     ,12,12846,1260.8,100042607.6,293647.33,0.8568
Groundnut,1998,Rabi       ,12,10854,1260.8,21483566.0,63059.05,1.3052
Horse-gram,1998,Kharif     ,12,10634,1260.8,18721216.8,54950.94,0.504615385
Horse-gram,1998,Rabi       ,12,10040,1260.8,13316165.2,39085.91,0.4492
Jowar,1998,Kharif     ,12,11910,1260.8,41575830.4,122034.32,1.305714286
Jowar,1998,Rabi       ,12,13040,1260.8,140312005.6,411846.98,0.7235
Jowar,1998,Summer     ,12,4353,1260.8,879023.6,2580.13,2.461333333
Linseed,1998,Rabi       ,12,6128,1260.8,1956832.8,5743.74,0.315
Maize,1998,Kharif     ,12,12018,1260.8,44506633.6,130636.88,3.366
Maize,1998,Rabi       ,12,7953,1260.8,4932293.6,14477.38,1.97952381
Maize,1998,Summer     ,12,4987,1260.8,1183031.2,3472.46,2.241904762
Moong(Green Gram),1998,Kharif     ,12,11457,1260.8,30797936.0,90398.8,0.180769231
Moong(Green Gram),1998,Rabi       ,12,5571,1260.8,1543947.6,4531.83,0.438823529
Niger seed,1998,Kharif     ,12,7619,1260.8,4135076.4,12137.37,0.214782609
Onion,1998,Kharif     ,12,8956,1260.8,7896194.8,23177.09,5.363636364
Onion,1998,Rabi       ,12,4348,1260.8,877541.6,2575.78,8.936315789
Onion,1998,Summer     ,12,3085,1260.8,473943.6,1391.13,11.86631579
Peas & beans (Pulses),1998,Kharif     ,12,1511,1260.8,170924.0,501.7,9.265882353
Peas & beans (Pulses),1998,Rabi       ,12,506,1260.8,48807.2,143.26,8.948181818
Peas & beans (Pulses),1998,Summer     ,12,1403,1260.8,156400.4,459.07,7.827
Potato,1998,Kharif     ,12,6901,1260.8,2840994.0,8338.95,12.37333333
Potato,1998,Rabi       ,12,2833,1260.8,412292.4,1210.17,18.90714286
Potato,1998,Summer     ,12,1063,1260.8,112335.6,329.73,17.6
Potato,1998,Whole Year ,12,292,1260.8,26478.4,77.72,14.59
Ragi,1998,Kharif     ,12,12832,1260.8,97433892.4,285990.17,1.418
Ragi,1998,Rabi       ,12,7239,1260.8,3342700.4,9811.57,1.361
Ragi,1998,Summer     ,12,4751,1260.8,1054492.4,3095.17,2.239230769
Rapeseed &Mustard,1998,Kharif     ,12,3738,1260.8,659292.4,1935.17,0.210625
Rice,1998,Kharif     ,12,12898,1260.8,106624268.4,312965.97,2.310740741
Rice,1998,Rabi       ,12,8033,1260.8,5116061.6,15016.78,2.054285714
Rice,1998,Summer     ,12,11370,1260.8,29228004.0,85790.7,2.99375
Safflower,1998,Rabi       ,12,9356,1260.8,9631715.6,28271.23,0.616428571
Sesamum,1998,Kharif     ,12,9747,1260.8,11386700.0,33422.5,0.417307692
Soyabean,1998,Kharif     ,12,8553,1260.8,6452529.2,18939.61,1.060588235
Sunflower,1998,Kharif     ,12,11948,1260.8,42550788.8,124896.04,0.382608696
Sunflower,1998,Rabi       ,12,11691,1260.8,35519983.2,104259.06,0.390416667
Sunflower,1998,Summer     ,12,7671,1260.8,4263812.8,12515.24,0.595217391
Turmeric,1998,Whole Year ,12,3171,1260.8,494691.6,1452.03,4.682380952
Wheat,1998,Rabi       ,12,11202,1260.8,26575322.8,78004.49,0.848823529
Arecanut,1998,Whole Year ,13,8798,3151.5,7275533.2,21355.31,0.797857143
Banana,1998,Whole Year ,13,7022,3151.5,3015474.8,8851.09,12.85714286
Black pepper,1998,Whole Year ,13,10568,3151.5,18019539.2,52891.36,0.261428571
Cardamom,1998,Whole Year ,13,7604,3151.5,4095161.2,12020.21,0.045555556
Cashewnut,1998,Whole Year ,13,9214,3151.5,9017278.4,26467.72,0.484285714
Coconut ,1998,Whole Year ,13,12756,3151.5,87170054.4,255863.52,5304.749286
Cotton(lint),1998,Kharif     ,13,4825,3151.5,1086701.2,3189.71,1.61
Dry chillies,1998,Whole Year ,13,321,3151.5,29343.6,86.13,0.937777778
Garlic,1998,Whole Year ,13,726,3151.5,73309.6,215.18,17.0
Ginger,1998,Whole Year ,13,4849,3151.5,1097371.6,3221.03,2.93
Groundnut,1998,Kharif     ,13,3859,3151.5,693674.8,2036.09,0.62
Jowar,1998,Kharif     ,13,1801,3151.5,215087.6,631.33,0.505
Ragi,1998,Kharif     ,13,1078,3151.5,114311.6,335.53,0.81
Rice,1998,Autumn     ,13,9826,3151.5,11877439.6,34862.93,1.856923077
Rice,1998,Summer     ,13,8270,3151.5,5700760.0,16733.0,2.116153846
Rice,1998,Winter     ,13,10509,3151.5,17261743.2,50667.06,1.937142857
Sesamum,1998,Kharif     ,13,2443,3151.5,326336.4,957.87,0.467272727
Sugarcane,1998,Whole Year ,13,3578,3151.5,608608.0,1786.4,64.83
Sweet potato,1998,Whole Year ,13,1034,3151.5,108581.2,318.71,11.718
Tapioca,1998,Whole Year ,13,9698,3151.5,11142071.2,32704.46,25.51785714
Tobacco,1998,Whole Year ,13,51,3151.5,4050.8,11.89,5.56
Turmeric,1998,Whole Year ,13,2623,3151.5,366152.8,1074.74,1.997857143
Arecanut,1998,Whole Year ,17,4503,6552.7,946998.0,2779.65,1.151666667
Arhar/Tur,1998,Kharif     ,17,831,6552.7,85066.8,249.69,0.803333333
Banana,1998,Whole Year ,17,3239,6552.7,513167.2,1506.26,11.26714286
Cotton(lint),1998,Kharif     ,17,4040,6552.7,745841.2,2189.21,0.796666667
Dry chillies,1998,Whole Year ,17,1532,6552.7,174283.2,511.56,0.598571429
Ginger,1998,Kharif     ,17,3993,6552.7,731416.4,2146.87,6.008571429
Gram,1998,Rabi       ,17,478,6552.7,45744.4,134.27,0.61
Jute,1998,Kharif     ,17,2865,6552.7,419010.8,1229.89,7.553333333
Linseed,1998,Kharif     ,17,62,6552.7,5038.8,14.79,0.45
Maize,1998,Kharif     ,17,5804,6552.7,1701237.2,4993.51,1.457142857
Mesta,1998,Kharif     ,17,3052,6552.7,462482.8,1357.49,4.58
Mesta,1998,Whole Year ,17,839,6552.7,86054.8,252.59,0.68
Other  Rabi pulses,1998,Rabi       ,17,1650,6552.7,191474.4,562.02,0.755714286
Potato,1998,Whole Year ,17,6235,6552.7,2050396.4,6018.37,7.738571429
Rapeseed &Mustard,1998,Rabi       ,17,3812,6552.7,683300.8,2005.64,0.635714286
Rice,1998,Kharif     ,17,9562,6552.7,10413717.6,30566.58,1.51
Sesamum,1998,Kharif     ,17,1208,6552.7,130613.6,383.38,0.575714286
Small millets,1998,Kharif     ,17,2175,6552.7,278912.4,818.67,0.871428571
Soyabean,1998,Kharif     ,17,866,6552.7,88821.2,260.71,0.881428571
Sugarcane,1998,Whole Year ,17,98,6552.7,8200.4,24.07,2.328
Sweet potato,1998,Whole Year ,17,3233,6552.7,511882.8,1502.49,3.302857143
Tapioca,1998,Whole Year ,17,2733,6552.7,391544.4,1149.27,6.547142857
Tobacco,1998,Whole Year ,17,726,6552.7,73309.6,215.18,0.61
Turmeric,1998,Whole Year ,17,1248,6552.7,135850.0,398.75,5.624285714
Wheat,1998,Rabi       ,17,2883,6552.7,423555.6,1243.23,1.605
Arecanut,1998,Whole Year ,29,4190,2152.5,814013.2,2389.31,1.595294118
Arhar/Tur,1998,Kharif     ,29,2062,2152.5,257472.8,755.74,0.756923077
Bajra,1998,Kharif     ,29,195,2152.5,17290.0,50.75,0.436666667
Barley,1998,Rabi       ,29,3505,2152.5,586674.4,1722.02,1.10375
Cardamom,1998,Whole Year ,29,2209,2152.5,284050.0,833.75,0.24
Castor seed,1998,Rabi       ,29,65,2152.5,5335.2,15.66,0.7
Coconut ,1998,Whole Year ,29,6543,2152.5,2432060.8,7138.64,12448.06222
Cotton(lint),1998,Kharif     ,29,223,2152.5,19760.0,58.0,0.37
Dry chillies,1998,Whole Year ,29,8519,2152.5,6358175.2,18662.66,0.890555556
Ginger,1998,Kharif     ,29,4472,2152.5,928522.4,2725.42,1.449444444
Gram,1998,Rabi       ,29,6434,2152.5,2300656.8,6752.94,0.875
Groundnut,1998,Whole Year ,29,7001,2152.5,2979511.6,8745.53,1.128571429
Horse-gram,1998,Rabi       ,29,3147,2152.5,489850.4,1437.82,0.422
Jowar,1998,Kharif     ,29,853,2152.5,87536.8,256.94,0.465
Jute,1998,Kharif     ,29,12391,2152.5,60472120.8,177499.14,13.24705882
Khesari,1998,Rabi       ,29,6437,2152.5,2302040.0,6757.0,0.774666667
Linseed,1998,Rabi       ,29,4666,2152.5,1019912.4,2993.67,0.24
Maize,1998,Kharif     ,29,7467,2152.5,3805677.2,11170.51,2.634
Masoor,1998,Rabi       ,29,8037,2152.5,5129597.2,15056.51,0.600588235
Mesta,1998,Kharif     ,29,4584,2152.5,979206.8,2874.19,8.453846154
Moong(Green Gram),1998,Kharif     ,29,798,2152.5,81213.6,238.38,0.5075
Moong(Green Gram),1998,Rabi       ,29,2130,2152.5,269625.2,791.41,0.61
Moong(Green Gram),1998,Summer     ,29,4453,2152.5,920816.0,2702.8,0.312857143
Niger seed,1998,Kharif     ,29,4045,2152.5,749595.6,2200.23,0.4075
Other Kharif pulses,1998,Kharif     ,29,747,2152.5,75878.4,222.72,0.516
Peas & beans (Pulses),1998,Rabi       ,29,4430,2152.5,911924.0,2676.7,0.70625
Potato,1998,Whole Year ,29,11494,2152.5,31438061.2,92277.71,18.95944444
Ragi,1998,Kharif     ,29,5154,2152.5,1274026.0,3739.55,0.91
Rapeseed &Mustard,1998,Rabi       ,29,11622,2152.5,34022570.4,99863.82,0.667222222
Rice,1998,Autumn     ,29,11924,2152.5,41990197.6,123250.58,1.751111111
Rice,1998,Summer     ,29,13058,2152.5,143306732.4,420637.17,3.22
Rice,1998,Winter     ,29,13524,2152.5,398027656.0,1168299.8,1.781666667
Safflower,1998,Rabi       ,29,59,2152.5,4742.4,13.92,0.4575
Sannhamp,1998,Whole Year ,29,1557,2152.5,177840.0,522.0,4.971428571
Sesamum,1998,Whole Year ,29,9422,2152.5,9921990.0,29123.25,0.741111111
Small millets,1998,Kharif     ,29,2638,2152.5,369709.6,1085.18,0.575714286
Small millets,1998,Rabi       ,29,1139,2152.5,122018.0,358.15,1.035
Soyabean,1998,Kharif     ,29,776,2152.5,79040.0,232.0,0.481666667
Sugarcane,1998,Whole Year ,29,6758,2152.5,2662561.2,7815.21,75.314375
Sunflower,1998,Kharif     ,29,170,2152.5,14721.2,43.21,0.71
Turmeric,1998,Whole Year ,29,5134,2152.5,1260984.4,3701.27,1.569444444
Urad,1998,Kharif     ,29,8306,2152.5,5817146.4,17074.62,0.402222222
Urad,1998,Rabi       ,29,5507,2152.5,1493065.6,4382.48,0.649090909
Wheat,1998,Rabi       ,29,11720,2152.5,36306233.6,106566.88,1.870555556
Arecanut,1999,Whole Year ,2,8795,2201.8,7796734.32,19835.28,0.746086957
Arhar/Tur,1999,Kharif     ,2,3943,2201.8,771140.58,1961.82,0.707826087
Banana,1999,Whole Year ,2,7623,2201.8,4449181.86,11318.94,13.74652174
Castor seed,1999,Kharif     ,2,1507,2201.8,183180.38,466.02,0.423333333
